year,entity,code,emissions
1769,International transport,,0
1769,Statistical differences,,0
1769,United Kingdom,GBR,12270736
1769,World,OWID_WRL,12270736
1770,EU-28,,12274400
1770,Europe (other),,0
1770,United States,USA,0
1770,Americas (other),,0
1770,Middle East,,0
1770,Africa,,0
1770,India,IND,0
1770,China,CHN,0
1770,Asia and Pacific (other),,0
1770,International transport,,0
1770,Statistical differences,,0
1770,United Kingdom,GBR,12274400
1770,World,OWID_WRL,12274400
1771,EU-28,,13611760
1771,Europe (other),,0
1771,United States,USA,0
1771,Americas (other),,0
1771,Middle East,,0
1771,Africa,,0
1771,India,IND,0
1771,China,CHN,0
1771,Asia and Pacific (other),,0
1771,International transport,,0
1771,Statistical differences,,0
1771,United Kingdom,GBR,13611760
1771,World,OWID_WRL,13611760
1772,EU-28,,13615424
1772,Europe (other),,0
1772,United States,USA,0
1772,Americas (other),,0
1772,Middle East,,0
1772,Africa,,0
1772,India,IND,0
1772,China,CHN,0
1772,Asia and Pacific (other),,0
1772,International transport,,0
1772,Statistical differences,,0
1772,United Kingdom,GBR,13615424
1772,World,OWID_WRL,13615424
1773,EU-28,,13619088
1773,Europe (other),,0
1773,United States,USA,0
1773,Americas (other),,0
1773,Middle East,,0
1773,Africa,,0
1773,India,IND,0
1773,China,CHN,0
1773,Asia and Pacific (other),,0
1773,International transport,,0
1773,Statistical differences,,0
1773,United Kingdom,GBR,13619088
1773,World,OWID_WRL,13619088
1774,EU-28,,13622752
1774,Europe (other),,0
1774,United States,USA,0
1774,Americas (other),,0
1774,Middle East,,0
1774,Africa,,0
1774,India,IND,0
1774,China,CHN,0
1774,Asia and Pacific (other),,0
1774,International transport,,0
1774,Statistical differences,,0
1774,United Kingdom,GBR,13622752
1774,World,OWID_WRL,13622752
1775,EU-28,,13626416
1775,Europe (other),,0
1775,United States,USA,0
1775,Americas (other),,0
1775,Middle East,,0
1775,Africa,,0
1775,India,IND,0
1775,China,CHN,0
1775,Asia and Pacific (other),,0
1775,International transport,,0
1775,Statistical differences,,0
1775,United Kingdom,GBR,13626416
1775,World,OWID_WRL,13626416
1776,EU-28,,15037056
1776,Europe (other),,0
1776,United States,USA,0
1776,Americas (other),,0
1776,Middle East,,0
1776,Africa,,0
1776,India,IND,0
1776,China,CHN,0
1776,Asia and Pacific (other),,0
1776,International transport,,0
1776,Statistical differences,,0
1776,United Kingdom,GBR,15037056
1776,World,OWID_WRL,15037056
1777,EU-28,,15040720
1777,Europe (other),,0
1777,United States,USA,0
1777,Americas (other),,0
1777,Middle East,,0
1777,Africa,,0
1777,India,IND,0
1777,China,CHN,0
1777,Asia and Pacific (other),,0
1777,International transport,,0
1777,Statistical differences,,0
1777,United Kingdom,GBR,15040720
1777,World,OWID_WRL,15040720
1778,EU-28,,15044384
1778,Europe (other),,0
1778,United States,USA,0
1778,Americas (other),,0
1778,Middle East,,0
1778,Africa,,0
1778,India,IND,0
1778,China,CHN,0
1778,Asia and Pacific (other),,0
1778,International transport,,0
1778,Statistical differences,,0
1778,United Kingdom,GBR,15044384
1778,World,OWID_WRL,15044384
1779,EU-28,,15048048
1779,Europe (other),,0
1779,United States,USA,0
1779,Americas (other),,0
1779,Middle East,,0
1779,Africa,,0
1779,India,IND,0
1779,China,CHN,0
1779,Asia and Pacific (other),,0
1779,International transport,,0
1779,Statistical differences,,0
1779,United Kingdom,GBR,15048048
1779,World,OWID_WRL,15048048
1780,EU-28,,15055376
1780,Europe (other),,0
1780,United States,USA,0
1780,Americas (other),,0
1780,Middle East,,0
1780,Africa,,0
1780,India,IND,0
1780,China,CHN,0
1780,Asia and Pacific (other),,0
1780,International transport,,0
1780,Statistical differences,,0
1780,United Kingdom,GBR,15055376
1780,World,OWID_WRL,15055376
1781,EU-28,,16843408
1781,Europe (other),,0
1781,United States,USA,0
1781,Americas (other),,0
1781,Middle East,,0
1781,Africa,,0
1781,India,IND,0
1781,China,CHN,0
1781,Asia and Pacific (other),,0
1781,International transport,,0
1781,Statistical differences,,0
1781,United Kingdom,GBR,16843408
1781,World,OWID_WRL,16843408
1782,EU-28,,16847072
1782,Europe (other),,0
1782,United States,USA,0
1782,Americas (other),,0
1782,Middle East,,0
1782,Africa,,0
1782,India,IND,0
1782,China,CHN,0
1782,Asia and Pacific (other),,0
1782,International transport,,0
1782,Statistical differences,,0
1782,United Kingdom,GBR,16847072
1782,World,OWID_WRL,16847072
1783,EU-28,,16854400
1783,Europe (other),,0
1783,United States,USA,0
1783,Americas (other),,0
1783,Middle East,,0
1783,Africa,,0
1783,India,IND,0
1783,China,CHN,0
1783,Asia and Pacific (other),,0
1783,International transport,,0
1783,Statistical differences,,0
1783,United Kingdom,GBR,16854400
1783,World,OWID_WRL,16854400
1784,EU-28,,16858064
1784,Europe (other),,0
1784,United States,USA,0
1784,Americas (other),,0
1784,Middle East,,0
1784,Africa,,0
1784,India,IND,0
1784,China,CHN,0
1784,Asia and Pacific (other),,0
1784,International transport,,0
1784,Statistical differences,,0
1784,United Kingdom,GBR,16858064
1784,World,OWID_WRL,16858064
1785,EU-28,,16865392
1785,Europe (other),,0
1785,United States,USA,0
1785,Americas (other),,3664
1785,Middle East,,0
1785,Africa,,0
1785,India,IND,0
1785,China,CHN,0
1785,Asia and Pacific (other),,0
1785,International transport,,0
1785,Statistical differences,,0
1785,Canada,CAN,3664
1785,United Kingdom,GBR,16865392
1785,World,OWID_WRL,16869056
1786,EU-28,,19148064
1786,Europe (other),,0
1786,United States,USA,0
1786,Americas (other),,3664
1786,Middle East,,0
1786,Africa,,0
1786,India,IND,0
1786,China,CHN,0
1786,Asia and Pacific (other),,0
1786,International transport,,0
1786,Statistical differences,,0
1786,Canada,CAN,3664
1786,United Kingdom,GBR,19148064
1786,World,OWID_WRL,19151728
1787,EU-28,,19155392
1787,Europe (other),,0
1787,United States,USA,0
1787,Americas (other),,3664
1787,Middle East,,0
1787,Africa,,0
1787,India,IND,0
1787,China,CHN,0
1787,Asia and Pacific (other),,0
1787,International transport,,0
1787,Statistical differences,,0
1787,Canada,CAN,3664
1787,United Kingdom,GBR,19155392
1787,World,OWID_WRL,19159056
1788,EU-28,,19159056
1788,Europe (other),,0
1788,United States,USA,0
1788,Americas (other),,3664
1788,Middle East,,0
1788,Africa,,0
1788,India,IND,0
1788,China,CHN,0
1788,Asia and Pacific (other),,0
1788,International transport,,0
1788,Statistical differences,,0
1788,Canada,CAN,3664
1788,United Kingdom,GBR,19159056
1788,World,OWID_WRL,19162720
1789,EU-28,,19166384
1789,Europe (other),,0
1789,United States,USA,0
1789,Americas (other),,3664
1789,Middle East,,0
1789,Africa,,0
1789,India,IND,0
1789,China,CHN,0
1789,Asia and Pacific (other),,0
1789,International transport,,0
1789,Statistical differences,,0
1789,Canada,CAN,3664
1789,United Kingdom,GBR,19166384
1789,World,OWID_WRL,19170048
1790,EU-28,,19173712
1790,Europe (other),,0
1790,United States,USA,0
1790,Americas (other),,3664
1790,Middle East,,0
1790,Africa,,0
1790,India,IND,0
1790,China,CHN,0
1790,Asia and Pacific (other),,0
1790,International transport,,0
1790,Statistical differences,,0
1790,Canada,CAN,3664
1790,United Kingdom,GBR,19173712
1790,World,OWID_WRL,19177376
1791,EU-28,,21416080
1791,Europe (other),,0
1791,United States,USA,0
1791,Americas (other),,3664
1791,Middle East,,0
1791,Africa,,0
1791,India,IND,0
1791,China,CHN,0
1791,Asia and Pacific (other),,0
1791,International transport,,0
1791,Statistical differences,,0
1791,Canada,CAN,3664
1791,United Kingdom,GBR,21416080
1791,World,OWID_WRL,21419744
1792,EU-28,,21892400
1792,Europe (other),,0
1792,United States,USA,0
1792,Americas (other),,3664
1792,Middle East,,0
1792,Africa,,0
1792,India,IND,0
1792,China,CHN,0
1792,Asia and Pacific (other),,0
1792,International transport,,0
1792,Statistical differences,,0
1792,Canada,CAN,3664
1792,Germany,DEU,468992
1792,United Kingdom,GBR,21423408
1792,World,OWID_WRL,21896064
1793,EU-28,,21910720
1793,Europe (other),,0
1793,United States,USA,0
1793,Americas (other),,3664
1793,Middle East,,0
1793,Africa,,0
1793,India,IND,0
1793,China,CHN,0
1793,Asia and Pacific (other),,0
1793,International transport,,0
1793,Statistical differences,,0
1793,Canada,CAN,3664
1793,Germany,DEU,479984
1793,United Kingdom,GBR,21430736
1793,World,OWID_WRL,21914384
1794,EU-28,,21877744
1794,Europe (other),,0
1794,United States,USA,0
1794,Americas (other),,3664
1794,Middle East,,0
1794,Africa,,0
1794,India,IND,0
1794,China,CHN,0
1794,Asia and Pacific (other),,0
1794,International transport,,0
1794,Statistical differences,,0
1794,Canada,CAN,3664
1794,Germany,DEU,443344
1794,United Kingdom,GBR,21434400
1794,World,OWID_WRL,21881408
1795,EU-28,,21888736
1795,Europe (other),,0
1795,United States,USA,0
1795,Americas (other),,3664
1795,Middle East,,0
1795,Africa,,0
1795,India,IND,0
1795,China,CHN,0
1795,Asia and Pacific (other),,0
1795,International transport,,0
1795,Statistical differences,,0
1795,Canada,CAN,3664
1795,Germany,DEU,447008
1795,United Kingdom,GBR,21441728
1795,World,OWID_WRL,21892400
1796,EU-28,,22947632
1796,Europe (other),,0
1796,United States,USA,0
1796,Americas (other),,3664
1796,Middle East,,0
1796,Africa,,0
1796,India,IND,0
1796,China,CHN,0
1796,Asia and Pacific (other),,0
1796,International transport,,0
1796,Statistical differences,,0
1796,Canada,CAN,3664
1796,Germany,DEU,534944
1796,United Kingdom,GBR,22412688
1796,World,OWID_WRL,22951296
1797,EU-28,,24090800
1797,Europe (other),,0
1797,United States,USA,0
1797,Americas (other),,3664
1797,Middle East,,0
1797,Africa,,0
1797,India,IND,0
1797,China,CHN,0
1797,Asia and Pacific (other),,0
1797,International transport,,0
1797,Statistical differences,,0
1797,Canada,CAN,3664
1797,Germany,DEU,549600
1797,United Kingdom,GBR,23541200
1797,World,OWID_WRL,24094464
1798,EU-28,,25091072
1798,Europe (other),,0
1798,United States,USA,0
1798,Americas (other),,3664
1798,Middle East,,0
1798,Africa,,0
1798,India,IND,0
1798,China,CHN,0
1798,Asia and Pacific (other),,0
1798,International transport,,0
1798,Statistical differences,,0
1798,Canada,CAN,3664
1798,Germany,DEU,575248
1798,United Kingdom,GBR,24515824
1798,World,OWID_WRL,25094736
1799,EU-28,,26424768
1799,Europe (other),,0
1799,United States,USA,0
1799,Americas (other),,3664
1799,Middle East,,0
1799,Africa,,0
1799,India,IND,0
1799,China,CHN,0
1799,Asia and Pacific (other),,0
1799,International transport,,0
1799,Statistical differences,,0
1799,Canada,CAN,3664
1799,Germany,DEU,626544
1799,United Kingdom,GBR,25798224
1799,World,OWID_WRL,26428432
1800,EU-28,,27835408
1800,Europe (other),,0
1800,United States,USA,252816
1800,Americas (other),,3664
1800,Middle East,,0
1800,Africa,,0
1800,India,IND,0
1800,China,CHN,0
1800,Asia and Pacific (other),,0
1800,International transport,,0
1800,Statistical differences,,0
1800,Canada,CAN,3664
1800,Germany,DEU,795088
1800,Poland,POL,406704
1800,United Kingdom,GBR,26633616
1800,World,OWID_WRL,28091888
1801,EU-28,,27688848
1801,Europe (other),,0
1801,United States,USA,267472
1801,Americas (other),,3664
1801,Middle East,,0
1801,Africa,,0
1801,India,IND,0
1801,China,CHN,0
1801,Asia and Pacific (other),,0
1801,International transport,,0
1801,Statistical differences,,0
1801,Canada,CAN,3664
1801,Germany,DEU,534944
1801,Poland,POL,443344
1801,United Kingdom,GBR,26710560
1801,World,OWID_WRL,27959984
1802,EU-28,,36489776
1802,Europe (other),,0
1802,United States,USA,289456
1802,Americas (other),,3664
1802,Middle East,,0
1802,Africa,,0
1802,India,IND,0
1802,China,CHN,0
1802,Asia and Pacific (other),,0
1802,International transport,,0
1802,Statistical differences,,0
1802,Belgium,BEL,6397344
1802,Canada,CAN,3664
1802,France,FRA,2238704
1802,Germany,DEU,553264
1802,Poland,POL,450672
1802,United Kingdom,GBR,26849792
1802,World,OWID_WRL,36782896
1803,EU-28,,31187968
1803,Europe (other),,0
1803,United States,USA,296784
1803,Americas (other),,3664
1803,Middle East,,0
1803,Africa,,0
1803,India,IND,0
1803,China,CHN,0
1803,Asia and Pacific (other),,0
1803,International transport,,0
1803,Statistical differences,,0
1803,Canada,CAN,3664
1803,Germany,DEU,534944
1803,Poland,POL,461664
1803,United Kingdom,GBR,30191360
1803,World,OWID_WRL,31488416
1804,EU-28,,33972608
1804,Europe (other),,0
1804,United States,USA,333424
1804,Americas (other),,3664
1804,Middle East,,0
1804,Africa,,0
1804,India,IND,0
1804,China,CHN,0
1804,Asia and Pacific (other),,0
1804,International transport,,0
1804,Statistical differences,,0
1804,Canada,CAN,3664
1804,France,FRA,2176416
1804,Germany,DEU,1007600
1804,Poland,POL,458000
1804,United Kingdom,GBR,30330592
1804,World,OWID_WRL,34309696
1805,EU-28,,33074928
1805,Europe (other),,0
1805,United States,USA,340752
1805,Americas (other),,3664
1805,Middle East,,0
1805,Africa,,0
1805,India,IND,0
1805,China,CHN,0
1805,Asia and Pacific (other),,0
1805,International transport,,0
1805,Statistical differences,,0
1805,Canada,CAN,3664
1805,Germany,DEU,1040576
1805,Poland,POL,571584
1805,United Kingdom,GBR,31462768
1805,World,OWID_WRL,33419344
1806,EU-28,,34709072
1806,Europe (other),,0
1806,United States,USA,333424
1806,Americas (other),,3664
1806,Middle East,,0
1806,Africa,,0
1806,India,IND,0
1806,China,CHN,0
1806,Asia and Pacific (other),,0
1806,International transport,,0
1806,Statistical differences,,0
1806,Canada,CAN,3664
1806,Germany,DEU,937984
1806,Poland,POL,520288
1806,United Kingdom,GBR,33250800
1806,World,OWID_WRL,35046160
1807,EU-28,,36493440
1807,Europe (other),,0
1807,United States,USA,377392
1807,Americas (other),,3664
1807,Middle East,,0
1807,Africa,,0
1807,India,IND,0
1807,China,CHN,0
1807,Asia and Pacific (other),,0
1807,International transport,,0
1807,Statistical differences,,0
1807,Austria,AUT,168544
1807,Canada,CAN,3664
1807,Germany,DEU,2689376
1807,Poland,POL,377392
1807,United Kingdom,GBR,33258128
1807,World,OWID_WRL,36874496
1808,EU-28,,34668768
1808,Europe (other),,0
1808,United States,USA,392048
1808,Americas (other),,3664
1808,Middle East,,0
1808,Africa,,0
1808,India,IND,0
1808,China,CHN,0
1808,Asia and Pacific (other),,0
1808,International transport,,0
1808,Statistical differences,,0
1808,Canada,CAN,3664
1808,Germany,DEU,897680
1808,Poland,POL,501968
1808,United Kingdom,GBR,33269120
1808,World,OWID_WRL,35064480
1809,EU-28,,34683424
1809,Europe (other),,0
1809,United States,USA,403040
1809,Americas (other),,3664
1809,Middle East,,0
1809,Africa,,0
1809,India,IND,0
1809,China,CHN,0
1809,Asia and Pacific (other),,0
1809,International transport,,0
1809,Statistical differences,,0
1809,Canada,CAN,3664
1809,Germany,DEU,930656
1809,Poland,POL,472656
1809,United Kingdom,GBR,33280112
1809,World,OWID_WRL,35090128
1810,EU-28,,36958768
1810,Europe (other),,0
1810,United States,USA,417696
1810,Americas (other),,3664
1810,Middle East,,0
1810,Africa,,0
1810,India,IND,0
1810,China,CHN,0
1810,Asia and Pacific (other),,0
1810,International transport,,0
1810,Statistical differences,,0
1810,Canada,CAN,3664
1810,France,FRA,2121456
1810,Germany,DEU,978288
1810,Poland,POL,567920
1810,United Kingdom,GBR,33291104
1810,World,OWID_WRL,37380128
1811,EU-28,,39131520
1811,Europe (other),,0
1811,United States,USA,447008
1811,Americas (other),,3664
1811,Middle East,,0
1811,Africa,,0
1811,India,IND,0
1811,China,CHN,0
1811,Asia and Pacific (other),,0
1811,International transport,,0
1811,Statistical differences,,0
1811,Canada,CAN,3664
1811,France,FRA,2051840
1811,Germany,DEU,926992
1811,Poland,POL,589904
1811,United Kingdom,GBR,35562784
1811,World,OWID_WRL,39582192
1812,EU-28,,40520176
1812,Europe (other),,0
1812,United States,USA,483648
1812,Americas (other),,3664
1812,Middle East,,0
1812,Africa,,0
1812,India,IND,0
1812,China,CHN,0
1812,Asia and Pacific (other),,0
1812,International transport,,0
1812,Statistical differences,,0
1812,Canada,CAN,3664
1812,France,FRA,2216720
1812,Germany,DEU,912336
1812,Poland,POL,454336
1812,United Kingdom,GBR,36936784
1812,World,OWID_WRL,41007488
1813,EU-28,,40696048
1813,Europe (other),,0
1813,United States,USA,520288
1813,Americas (other),,3664
1813,Middle East,,0
1813,Africa,,0
1813,India,IND,0
1813,China,CHN,0
1813,Asia and Pacific (other),,0
1813,International transport,,0
1813,Statistical differences,,0
1813,Canada,CAN,3664
1813,France,FRA,2048176
1813,Germany,DEU,890352
1813,Poland,POL,381056
1813,United Kingdom,GBR,37376464
1813,World,OWID_WRL,41220000
1814,EU-28,,41564416
1814,Europe (other),,0
1814,United States,USA,560592
1814,Americas (other),,3664
1814,Middle East,,0
1814,Africa,,0
1814,India,IND,0
1814,China,CHN,0
1814,Asia and Pacific (other),,0
1814,International transport,,0
1814,Statistical differences,,0
1814,Canada,CAN,3664
1814,France,FRA,2092144
1814,Germany,DEU,883024
1814,Poland,POL,501968
1814,United Kingdom,GBR,38087280
1814,World,OWID_WRL,42128672
1815,EU-28,,42883456
1815,Europe (other),,0
1815,United States,USA,600896
1815,Americas (other),,3664
1815,Middle East,,0
1815,Africa,,0
1815,India,IND,0
1815,China,CHN,0
1815,Asia and Pacific (other),,0
1815,International transport,,0
1815,Statistical differences,,0
1815,Canada,CAN,3664
1815,France,FRA,2341296
1815,Germany,DEU,1029584
1815,Poland,POL,589904
1815,United Kingdom,GBR,38922672
1815,World,OWID_WRL,43488016
1816,EU-28,,46998128
1816,Europe (other),,0
1816,United States,USA,663184
1816,Americas (other),,3664
1816,Middle East,,0
1816,Africa,,0
1816,India,IND,0
1816,China,CHN,0
1816,Asia and Pacific (other),,0
1816,International transport,,0
1816,Statistical differences,,0
1816,Canada,CAN,3664
1816,France,FRA,2498848
1816,Germany,DEU,2385264
1816,Poland,POL,677840
1816,United Kingdom,GBR,41436176
1816,World,OWID_WRL,47664976
1817,EU-28,,48709216
1817,Europe (other),,0
1817,United States,USA,718144
1817,Americas (other),,3664
1817,Middle East,,0
1817,Africa,,0
1817,India,IND,0
1817,China,CHN,0
1817,Asia and Pacific (other),,0
1817,International transport,,0
1817,Statistical differences,,0
1817,Canada,CAN,3664
1817,France,FRA,2660064
1817,Germany,DEU,3381872
1817,Poland,POL,743792
1817,United Kingdom,GBR,41923488
1817,World,OWID_WRL,49431024
1818,EU-28,,48859440
1818,Europe (other),,0
1818,United States,USA,780432
1818,Americas (other),,3664
1818,Middle East,,0
1818,Africa,,0
1818,India,IND,0
1818,China,CHN,0
1818,Asia and Pacific (other),,0
1818,International transport,,0
1818,Statistical differences,,0
1818,Canada,CAN,3664
1818,France,FRA,2381600
1818,Germany,DEU,3532096
1818,Poland,POL,923328
1818,United Kingdom,GBR,42022416
1818,World,OWID_WRL,49643536
1819,EU-28,,49181872
1819,Europe (other),,0
1819,United States,USA,762112
1819,Americas (other),,3664
1819,Middle East,,0
1819,Africa,,0
1819,India,IND,0
1819,China,CHN,0
1819,Asia and Pacific (other),,0
1819,International transport,,0
1819,Statistical differences,,0
1819,Austria,AUT,252816
1819,Canada,CAN,3664
1819,France,FRA,2557472
1819,Germany,DEU,3275616
1819,Poland,POL,758448
1819,United Kingdom,GBR,42337520
1819,World,OWID_WRL,49947648
1820,EU-28,,49892688
1820,Europe (other),,0
1820,United States,USA,791424
1820,Americas (other),,3664
1820,Middle East,,0
1820,Africa,,0
1820,India,IND,0
1820,China,CHN,0
1820,Asia and Pacific (other),,0
1820,International transport,,0
1820,Statistical differences,,0
1820,Austria,AUT,333424
1820,Canada,CAN,3664
1820,France,FRA,2901888
1820,Germany,DEU,3381872
1820,Poland,POL,747456
1820,United Kingdom,GBR,42528048
1820,World,OWID_WRL,50687776
1821,EU-28,,50603504
1821,Europe (other),,0
1821,United States,USA,828064
1821,Americas (other),,3664
1821,Middle East,,0
1821,Africa,,0
1821,India,IND,0
1821,China,CHN,0
1821,Asia and Pacific (other),,0
1821,International transport,,0
1821,Statistical differences,,0
1821,Austria,AUT,359072
1821,Canada,CAN,3664
1821,France,FRA,3011808
1821,Germany,DEU,3532096
1821,Poland,POL,828064
1821,United Kingdom,GBR,42872464
1821,World,OWID_WRL,51435232
1822,EU-28,,52596720
1822,Europe (other),,0
1822,United States,USA,864704
1822,Americas (other),,3664
1822,Middle East,,0
1822,Africa,,0
1822,India,IND,0
1822,China,CHN,0
1822,Asia and Pacific (other),,0
1822,International transport,,0
1822,Statistical differences,,0
1822,Austria,AUT,366400
1822,Canada,CAN,3664
1822,France,FRA,3169360
1822,Germany,DEU,3631024
1822,Poland,POL,908672
1822,United Kingdom,GBR,44521264
1822,World,OWID_WRL,53465088
1823,EU-28,,55645168
1823,Europe (other),,0
1823,United States,USA,901344
1823,Americas (other),,3664
1823,Middle East,,0
1823,Africa,,0
1823,India,IND,0
1823,China,CHN,0
1823,Asia and Pacific (other),,0
1823,International transport,,0
1823,Statistical differences,,0
1823,Austria,AUT,348080
1823,Canada,CAN,3664
1823,France,FRA,3169360
1823,Germany,DEU,4034064
1823,Poland,POL,1220112
1823,United Kingdom,GBR,46873552
1823,World,OWID_WRL,56550176
1824,EU-28,,57506480
1824,Europe (other),,0
1824,United States,USA,1014928
1824,Americas (other),,3664
1824,Middle East,,0
1824,Africa,,0
1824,India,IND,0
1824,China,CHN,0
1824,Asia and Pacific (other),,0
1824,International transport,,0
1824,Statistical differences,,0
1824,Austria,AUT,399376
1824,Canada,CAN,3664
1824,France,FRA,3517440
1824,Germany,DEU,3231648
1824,Poland,POL,1275072
1824,United Kingdom,GBR,49082944
1824,World,OWID_WRL,58525072
